close,date
21.2025,2016-05-12
21.2447,2016-05-13
21.6015,2016-06-27
21.6751,2016-01-27
21.7118,2016-05-11
21.7611,2016-05-06
21.7775,2016-05-09
21.8305,2016-01-28
21.844,2016-05-02
21.858,2016-02-11
21.8673,2016-04-29
21.8831,2016-05-05
21.9207,2016-06-24
21.921,2016-02-02
21.9254,2016-05-10
21.9257,2016-02-12
21.9326,2016-02-05
21.9418,2016-05-17
21.9653,2016-06-28
21.9723,2016-05-04
21.991,2016-02-10
22.0333,2016-05-16
22.0889,2016-02-23
22.1084,2016-05-19
22.1216,2016-04-28
22.1554,2016-06-29
22.1589,2016-02-09
22.1636,2016-02-08
22.1929,2016-05-18
22.2033,2016-05-03
22.2938,2016-07-05
22.3197,2016-06-20
22.3433,2016-01-21
22.3478,2016-05-20
22.3549,2016-02-03
22.3734,2016-02-01
22.3736,2016-06-17
22.3781,2016-01-07
22.4039,2016-02-19
22.4179,2016-02-24
22.4206,2016-07-06
22.4253,2016-06-22
22.4268,2016-01-19
22.437,2016-06-30
22.4552,2016-02-18
22.457,2016-01-20
22.4964,2016-01-08
22.5051,2016-07-01
22.5098,2016-06-21
22.5168,2016-07-07
22.5345,2016-02-04
22.5359,2016-01-15
22.5438,2016-02-16
22.5544,2016-06-23
22.5555,2016-02-29
22.5718,2016-02-25
22.5846,2016-01-29
22.5962,2016-01-13
22.5998,2016-02-22
22.6068,2016-02-26
22.6318,2016-05-23
22.6881,2016-07-26
22.6905,2016-07-08
22.7351,2016-07-13
22.7609,2016-07-11
22.7984,2016-06-15
22.8191,2016-04-27
22.8454,2016-06-13
22.8454,2016-07-25
22.8607,2016-01-11
22.8642,2016-07-12
22.8735,2016-06-14
22.8891,2016-02-17
22.8947,2016-06-16
22.9346,2016-06-02
22.9768,2016-05-24
22.9815,2016-06-03
23.0718,2016-01-25
23.0904,2016-01-14
23.1082,2016-06-01
23.1481,2016-06-06
23.1552,2016-07-22
23.1833,2016-07-15
23.1857,2016-07-14
23.1925,2016-01-12
23.1951,2016-06-10
23.1994,2016-01-26
23.2209,2016-06-08
23.242,2016-06-07
23.3359,2016-07-21
23.3642,2016-01-06
23.3805,2016-05-25
23.3875,2016-06-09
23.4298,2016-07-18
23.4368,2016-05-31
23.4392,2016-07-19
23.4513,2016-03-01
23.4603,2016-07-20
23.5026,2016-03-02
23.5312,2016-01-22
23.5518,2016-05-27
23.5659,2016-05-26
23.5679,2016-03-08
23.5889,2016-03-09
23.6006,2016-03-10
23.6776,2016-03-03
23.7639,2016-03-07
23.8305,2016-01-05
23.8548,2016-03-11
23.9155,2016-03-14
24.0298,2016-03-04
24.162,2016-07-27
24.3354,2016-09-09
24.3424,2016-04-26
24.396,2016-03-15
24.4222,2015-12-31
24.443,2016-01-04
24.4577,2016-07-29
24.4883,2016-07-28
24.5127,2016-04-25
24.5211,2016-08-02
24.5383,2016-03-28
24.6008,2015-12-18
24.6503,2016-03-24
24.6527,2016-04-22
24.6806,2016-03-17
24.7063,2016-03-21
24.7086,2016-03-18
24.7203,2016-03-16
24.7203,2016-04-21
24.7576,2016-03-23
24.7841,2015-12-28
24.8286,2016-08-03
24.8792,2015-12-22
24.8805,2016-09-12
24.8896,2016-08-01
24.8953,2016-03-22
24.8994,2016-09-08
24.9001,2015-12-30
24.9024,2015-12-21
24.9396,2016-04-19
24.9819,2016-08-04
24.9909,2016-04-20
25.0126,2016-08-30
25.0362,2016-08-31
25.0648,2015-12-24
25.0723,2016-11-14
25.0725,2016-04-18
25.1192,2016-03-29
25.1849,2016-09-01
25.1994,2015-12-23
25.2061,2016-08-29
25.2296,2015-12-29
25.2344,2016-08-26
25.2853,2015-12-17
25.3198,2016-04-07
25.3478,2016-04-08
25.3619,2016-08-05
25.3831,2016-08-25
25.4043,2016-11-15
25.4138,2016-09-06
25.4208,2016-09-02
25.4248,2016-03-31
25.4318,2016-04-11
25.468,2016-08-11
25.4728,2016-09-13
25.4846,2016-08-10
25.4916,2016-08-24
25.527,2016-08-12
25.5578,2016-03-30
25.5656,2016-11-10
25.5695,2016-09-07
25.5719,2016-08-08
25.6049,2016-08-22
25.6161,2016-04-05
25.6254,2016-04-15
25.6356,2015-12-15
25.6581,2016-04-01
25.6757,2016-08-09
25.6851,2016-08-23
25.7174,2016-11-11
25.7394,2016-08-18
25.763,2016-04-12
25.7724,2016-08-17
25.8055,2016-08-19
25.8102,2016-08-16
25.8146,2016-11-04
25.8328,2015-12-16
25.8338,2016-08-15
25.8787,2016-12-05
25.8844,2016-04-06
25.9217,2016-04-04
25.9688,2016-12-01
26.0494,2016-11-03
26.0648,2015-11-13
26.066,2016-12-02
26.0779,2016-11-17
26.0779,2016-12-06
26.0874,2016-11-16
26.0973,2015-12-14
26.104,2016-11-18
26.1363,2016-04-13
26.1503,2016-04-14
26.187,2016-11-07
26.2131,2016-11-30
26.2597,2015-12-11
26.2985,2016-11-09
26.3081,2016-11-01
26.3317,2016-11-02
26.3341,2016-12-07
26.3412,2016-11-08
26.3742,2016-09-14
26.3781,2015-11-17
26.3815,2016-11-23
26.436,2016-11-29
26.4621,2016-11-28
26.4709,2016-09-29
26.4906,2015-11-16
26.5001,2016-11-21
26.5143,2016-11-25
26.5167,2016-11-22
26.5511,2016-10-03
26.5926,2016-12-08
26.596,2016-09-23
26.6361,2016-09-26
26.6644,2016-10-04
26.6762,2016-09-30
26.6762,2016-10-05
26.6856,2016-09-27
26.7284,2015-12-03
26.7918,2016-10-31
26.7942,2016-09-21
26.7989,2016-09-20
26.8013,2016-09-19
26.8259,2015-12-09
26.8343,2016-10-28
26.8491,2015-11-12
26.8725,2016-12-12
26.8744,2016-10-06
26.8886,2016-09-28
26.9145,2016-10-07
26.9395,2015-11-11
26.9535,2015-12-10
26.979,2015-12-02
27.0136,2016-10-27
27.0266,2016-12-09
27.0467,2016-09-22
27.0927,2015-11-10
27.1175,2016-09-16
27.2133,2015-11-18
27.2249,2015-12-01
27.2708,2016-09-15
27.2756,2016-10-26
27.3201,2015-11-23
27.3207,2016-12-13
27.3207,2016-12-14
27.334,2015-11-27
27.3841,2016-10-10
27.385,2015-11-25
27.4314,2015-12-08
27.443,2015-12-07
27.4431,2016-10-11
27.4477,2015-11-30
27.4701,2016-12-15
27.4701,2016-12-30
27.5057,2016-12-16
27.5139,2016-10-21
27.5176,2017-01-04
27.5484,2017-01-03
27.559,2015-11-19
27.5816,2016-12-22
27.5822,2015-11-24
27.6035,2016-10-13
27.617,2015-12-04
27.6224,2016-10-20
27.6362,2016-12-23
27.6366,2016-10-19
27.6575,2017-01-05
27.6646,2016-12-19
27.6797,2015-11-20
27.686,2016-12-29
27.6885,2016-10-12
27.6931,2016-12-28
27.7192,2016-10-18
27.7381,2016-10-17
27.7382,2016-12-20
27.7569,2016-10-14
27.7617,2016-10-24
27.7642,2016-12-21
27.8117,2016-12-27
27.9032,2016-10-25
27.9659,2017-01-06
27.9743,2015-11-09
27.996,2015-11-02
28.0555,2015-11-05
28.088,2015-11-06
28.1855,2015-11-04
28.222,2017-01-09
28.2339,2017-01-13
28.2505,2017-01-10
28.2837,2017-01-12
28.3172,2015-11-03
28.4023,2017-01-11
28.4094,2017-01-19
28.4544,2017-01-24
28.4592,2017-01-18
28.4616,2017-01-17
28.4616,2017-01-20
28.4805,2017-01-23
28.7817,2017-01-31
28.8482,2017-01-30
28.9075,2017-01-25
28.9217,2017-01-26
28.9241,2017-01-27
30.4847,2017-02-02
30.5369,2017-02-01
30.6151,2017-02-03
30.9021,2017-02-06
31.1962,2017-02-07
31.3172,2017-02-08
31.472,2017-02-10
31.5435,2017-02-09
31.7507,2017-02-13
32.1628,2017-02-14
32.2403,2017-02-16
32.2796,2017-02-15
32.3296,2017-02-17
32.5225,2017-02-23
32.5535,2017-02-24
32.563,2017-02-21
32.6178,2017-02-27
32.6321,2017-02-28
32.6607,2017-02-22
33.0347,2017-03-09
33.1014,2017-03-02
33.1085,2017-03-14
33.1109,2017-03-08
33.1443,2017-03-10
33.1585,2017-03-13
33.1919,2017-03-06
33.2348,2017-03-07
33.2967,2017-03-03
33.2991,2017-03-01
33.311,2017-03-21
33.3467,2017-03-17
33.4587,2017-03-15
33.5016,2017-03-24
33.5111,2017-04-19
33.5135,2017-03-16
33.5587,2017-03-27
33.5683,2017-03-23
33.5992,2017-04-13
33.635,2017-04-18
33.6874,2017-03-22
33.6969,2017-03-20
33.7374,2017-04-11
33.7779,2017-04-12
33.785,2017-04-17
33.8898,2017-04-21
33.9303,2017-04-20
34.0297,2017-06-16
34.1042,2017-04-10
34.1398,2017-07-06
34.1447,2017-04-07
34.2162,2017-04-24
34.2186,2017-04-28
34.221,2017-03-31
34.221,2017-04-06
34.2257,2017-04-26
34.2305,2017-04-03
34.2519,2017-04-27
34.2543,2017-03-28
34.2853,2017-03-30
34.3067,2017-04-05
34.3239,2017-07-03
34.3305,2017-03-29
34.367,2017-06-29
34.3789,2017-06-27
34.4282,2017-04-25
34.4483,2017-06-30
34.4651,2017-07-05
34.4854,2017-04-04
34.4866,2017-07-07
34.5129,2017-06-15
34.6851,2017-06-20
34.6971,2017-07-10
34.721,2017-06-14
34.7813,2019-01-03
34.7832,2017-06-12
34.8095,2017-07-11
34.8334,2017-06-22
34.8597,2017-07-12
34.8789,2017-06-26
34.8812,2017-06-28
34.8908,2017-06-21
34.9046,2017-05-04
34.9165,2017-05-01
34.9889,2017-06-23
35.0032,2017-06-19
35.0309,2017-05-03
35.063,2017-06-13
35.1381,2017-05-02
35.3453,2017-07-13
35.4835,2017-05-05
35.5749,2017-07-31
35.6347,2017-06-09
35.6491,2017-07-14
35.7591,2017-07-28
35.7734,2017-07-17
35.8906,2017-08-01
35.8978,2017-07-18
35.9163,2018-12-24
35.9385,2017-05-17
35.9433,2017-07-21
35.96,2017-07-20
36.0126,2017-07-27
36.1227,2017-07-19
36.1516,2017-09-25
36.1854,2019-01-07
36.2661,2019-01-04
36.3786,2017-07-24
36.4482,2017-05-08
36.4734,2017-09-22
36.4862,2017-05-18
36.5077,2017-05-10
36.5341,2017-07-25
36.5388,2017-05-31
36.6106,2017-05-19
36.6393,2017-06-01
36.6776,2017-05-24
36.6816,2017-05-09
36.6918,2019-01-14
36.7063,2017-07-26
36.7422,2017-05-26
36.7565,2017-05-30
36.7736,2017-09-26
36.7876,2017-05-23
36.8043,2017-05-25
36.8072,2017-09-28
36.8187,2017-06-05
36.8235,2017-05-11
36.833,2017-05-22
36.8336,2017-09-21
36.8552,2017-10-04
36.8703,2018-12-21
36.8752,2019-01-08
36.9345,2017-10-02
36.9431,2017-06-06
37.0089,2017-09-29
37.0353,2017-09-27
37.0722,2017-06-08
37.0954,2017-10-03
37.1631,2017-06-07
37.1823,2017-06-02
37.1871,2017-05-16
37.211,2017-08-03
37.2421,2017-05-15
37.2519,2019-01-11
37.2923,2017-10-06
37.2971,2017-08-10
37.3139,2017-10-05
37.3377,2017-05-12
37.3522,2019-01-24
37.3902,2018-02-08
37.4071,2017-08-04
37.4219,2017-10-09
37.4363,2017-10-10
37.4427,2019-01-15
37.4556,2017-10-19
37.4604,2017-10-12
37.4772,2017-09-20
37.499,2019-01-22
37.5012,2017-10-23
37.5014,2019-01-09
37.5204,2017-10-20
37.5588,2017-10-25
37.5865,2017-08-02
37.5924,2017-10-11
37.6213,2019-01-10
37.6506,2019-01-23
37.6981,2017-10-13
37.7131,2018-02-05
37.7245,2017-10-24
37.7509,2017-08-21
37.7989,2017-10-26
37.8157,2017-08-11
37.8205,2017-08-18
37.8366,2019-01-29
37.8475,2018-02-09
37.9002,2019-01-16
37.907,2017-08-17
37.986,2017-08-07
38.0079,2017-09-14
38.0919,2017-09-08
38.1015,2017-09-18
38.1159,2017-09-19
38.1252,2019-01-17
38.1961,2018-12-27
38.2157,2018-12-28
38.2328,2019-01-28
38.2456,2017-08-24
38.2897,2017-08-08
38.3368,2017-09-13
38.36,2019-01-18
38.3625,2018-12-20
38.3632,2017-10-18
38.368,2017-08-22
38.3849,2017-08-14
38.3873,2017-08-25
38.3921,2017-09-15
38.3921,2017-10-16
38.4161,2017-08-23
38.4456,2018-12-26
38.4481,2018-02-07
38.5241,2017-08-09
38.5337,2017-10-17
38.5851,2018-12-31
38.59,2019-01-25
38.6274,2017-09-12
38.6291,2019-01-02
38.649,2017-08-16
38.6795,2018-02-02
38.7234,2017-09-07
38.7739,2017-08-28
38.7811,2017-09-11
38.8051,2017-08-15
38.8795,2017-09-06
38.9203,2017-09-05
39.1197,2017-08-29
39.1533,2017-10-27
39.2253,2017-08-30
39.2776,2018-04-27
39.2892,2018-02-06
39.3556,2018-12-19
39.372,2018-02-12
39.3814,2017-08-31
39.3934,2017-09-01
39.4276,2018-04-24
39.5994,2018-04-25
39.7373,2018-04-26
39.7664,2018-02-13
39.9116,2018-03-23
39.9842,2018-04-23
39.989,2018-04-30
40.0346,2017-10-30
40.0754,2017-11-01
40.1003,2018-04-20
40.1017,2018-12-17
40.2387,2018-01-30
40.2842,2018-03-28
40.3326,2018-04-02
40.3496,2018-01-31
40.3683,2017-11-02
40.4221,2019-01-30
40.4339,2018-02-01
40.4773,2018-01-29
40.4784,2018-12-14
40.4996,2018-02-14
40.5917,2017-10-31
40.5988,2018-03-29
40.6227,2018-12-18
40.7132,2019-01-31
40.7303,2017-12-06
40.7328,2019-02-01
40.7343,2018-03-27
40.744,2018-04-06
40.7464,2018-04-03
40.7472,2017-11-15
40.7834,2017-12-29
40.8051,2017-12-07
40.8171,2017-12-08
40.8436,2017-11-29
40.8577,2018-03-22
40.8822,2017-12-05
40.9182,2018-05-01
40.9207,2017-12-04
40.9641,2017-11-20
41.0051,2017-11-17
41.1063,2017-12-26
41.1135,2017-12-27
41.1481,2018-04-09
41.2146,2018-12-07
41.222,2017-12-01
41.2292,2017-12-28
41.234,2017-11-16
41.2364,2018-01-25
41.2489,2018-12-11
41.2919,2017-11-14
41.3328,2018-01-26
41.3639,2018-12-12
41.3786,2017-12-12
41.3949,2018-02-21
41.4148,2017-11-30
41.4225,2017-11-03
41.4433,2018-03-21
41.4862,2018-12-10
41.5039,2017-12-14
41.5063,2018-01-03
41.5136,2018-01-02
41.516,2017-12-13
41.5255,2018-04-04
41.5836,2018-02-20
41.6124,2017-12-11
41.6223,2019-02-11
41.6991,2018-01-04
41.7088,2017-11-28
41.724,2018-02-16
41.7257,2017-11-21
41.7264,2018-04-11
41.7409,2018-02-22
41.8062,2018-03-26
41.8066,2019-02-13
41.8135,2018-04-05
41.8135,2018-04-19
41.8139,2019-02-07
41.8164,2018-12-13
41.8427,2017-11-06
41.8595,2018-02-15
41.8631,2019-02-08
41.8655,2019-02-15
41.8898,2019-02-04
41.9224,2018-04-10
41.9257,2017-11-13
41.9257,2017-12-15
41.9546,2017-11-27
41.9589,2019-02-14
41.9772,2017-11-07
41.981,2019-02-12
41.9859,2018-01-24
41.9908,2019-02-19
42.0028,2018-01-10
42.0124,2018-01-09
42.0173,2017-12-20
42.0173,2018-01-08
42.0228,2019-02-21
42.063,2017-12-19
42.0944,2017-11-10
42.1377,2018-04-12
42.1442,2018-11-23
