close,date
42.1643,2017-11-22
42.1667,2017-11-24
42.1739,2018-01-05
42.1763,2017-12-21
42.1763,2017-12-22
42.2341,2017-11-09
42.2414,2018-01-11
42.261,2019-02-20
42.2805,2018-04-13
42.3206,2017-11-08
42.3458,2018-03-01
42.3531,2018-03-07
42.3765,2019-03-07
42.4039,2018-03-20
42.4184,2018-03-19
42.4607,2018-01-16
42.4668,2018-02-23
42.4772,2019-03-08
42.492,2019-02-22
42.5161,2017-12-18
42.5362,2019-02-28
42.5443,2018-04-16
42.6065,2019-02-05
42.6212,2018-11-27
42.6212,2019-02-06
42.6386,2018-03-02
42.6559,2018-01-22
42.6655,2018-01-23
42.6776,2018-01-12
42.7141,2018-11-26
42.7257,2018-05-02
42.737,2019-06-03
42.7386,2018-12-06
42.7499,2018-03-06
42.7862,2018-03-05
42.8015,2019-02-25
42.8032,2018-05-03
42.8153,2018-03-08
42.8261,2019-02-26
42.8727,2019-03-06
42.9587,2019-02-27
42.9833,2019-03-01
43.0077,2018-01-19
43.0331,2018-04-18
43.0766,2018-03-16
43.1008,2018-02-28
43.1209,2019-03-05
43.1299,2018-04-17
43.162,2018-01-17
43.1661,2018-02-27
43.1735,2019-05-31
43.1782,2018-03-14
43.1995,2019-03-04
43.2005,2018-01-18
43.2205,2018-12-04
43.2291,2018-03-15
43.2425,2018-11-21
43.2914,2018-11-20
43.3065,2018-02-26
43.5485,2018-03-13
43.5509,2018-03-09
43.6828,2018-11-30
43.7431,2019-05-29
43.92,2018-11-29
43.9487,2019-03-11
43.9528,2019-05-28
43.97,2019-05-30
43.9719,2018-03-12
44.1352,2019-05-24
44.2508,2018-06-25
44.2601,2018-11-28
44.3005,2019-06-04
44.3054,2019-05-23
44.4425,2019-03-12
44.4825,2018-05-04
44.639,2019-03-13
44.6759,2018-07-03
44.7342,2018-06-27
44.7998,2018-06-26
44.8043,2018-05-07
44.9188,2018-06-22
44.965,2018-06-29
45.0156,2019-06-05
45.0197,2018-05-08
45.0354,2018-07-05
45.05,2018-06-21
45.0597,2018-06-28
45.0748,2019-05-22
45.1058,2018-06-19
45.1353,2019-03-14
45.1513,2019-05-20
45.2091,2018-12-03
45.2564,2018-05-18
45.288,2018-05-15
45.3026,2018-06-20
45.3367,2018-05-09
45.3925,2018-05-31
45.4216,2018-05-17
45.4629,2018-05-22
45.4635,2018-11-19
45.4678,2018-07-02
45.5455,2018-05-30
45.5771,2018-05-21
45.6378,2018-07-11
45.6427,2018-05-29
45.6597,2018-07-06
45.6765,2019-06-06
45.6935,2018-11-14
45.7034,2018-05-14
45.7034,2018-05-24
45.7107,2018-05-16
45.7224,2019-03-15
45.7544,2018-05-23
45.7998,2019-05-13
45.8078,2018-05-25
45.8103,2018-05-11
45.8231,2019-03-19
45.8467,2018-06-18
45.871,2018-06-15
45.887,2019-03-26
45.9852,2018-05-10
46.0168,2019-05-21
46.1309,2018-07-30
46.1892,2019-03-18
46.2111,2018-06-01
46.2232,2018-07-31
46.2235,2019-03-20
46.2378,2018-07-10
46.2499,2018-07-18
46.2937,2018-07-09
46.2997,2019-03-27
46.3228,2018-06-13
46.3471,2018-06-14
46.3611,2019-03-28
46.366,2019-03-25
46.3738,2018-07-16
46.3908,2018-07-27
46.403,2018-07-12
46.4516,2018-06-11
46.4758,2018-07-13
46.5026,2018-07-20
46.505,2018-07-17
46.5249,2019-05-14
46.5439,2018-07-23
46.5657,2018-06-08
46.5973,2018-06-04
46.6087,2019-05-17
46.6094,2018-07-19
46.6633,2019-03-29
46.7066,2018-06-12
46.8211,2018-11-15
46.875,2019-05-16
46.8815,2018-07-24
46.8923,2019-06-07
46.9335,2019-03-22
46.9568,2018-06-05
46.9802,2019-04-01
46.9932,2018-06-07
47.0217,2018-11-13
47.0822,2019-05-15
47.1196,2018-06-06
47.1754,2018-07-26
47.3236,2018-07-25
47.3397,2018-11-16
47.4916,2019-06-10
47.4963,2018-11-12
47.531,2019-06-14
47.6631,2019-04-02
47.679,2019-08-05
47.8146,2019-06-17
47.8787,2019-06-13
47.8886,2019-06-12
47.926,2019-03-21
47.9899,2019-04-03
48.0415,2019-06-11
48.0734,2019-04-04
48.2289,2019-06-25
48.3952,2019-04-05
48.5816,2019-08-06
48.6259,2019-05-10
48.7961,2019-06-19
48.8084,2019-06-28
48.8546,2019-04-12
48.8742,2019-04-11
48.9391,2019-06-18
48.943,2019-04-15
48.9462,2018-08-01
48.9479,2019-04-16
48.9712,2019-06-24
49.0093,2019-04-09
49.0205,2019-06-21
49.0846,2019-08-07
49.1398,2018-11-05
49.1567,2019-04-08
49.1882,2019-06-20
49.2573,2019-06-27
49.2721,2019-06-26
49.2845,2019-04-10
49.2968,2019-04-30
49.3091,2019-05-09
49.3263,2019-07-08
49.6272,2019-07-09
49.6276,2019-08-12
49.6712,2018-11-06
49.7036,2019-07-01
49.7529,2019-07-11
49.7538,2019-08-09
49.8348,2019-05-07
49.8446,2019-05-08
49.9011,2019-04-17
49.9395,2019-08-15
49.9601,2019-07-19
49.9946,2019-07-02
50.0158,2018-11-09
50.0804,2019-04-18
50.1179,2019-07-10
50.1352,2019-07-12
50.1475,2019-07-17
50.1623,2019-08-23
50.1672,2019-08-08
50.1885,2019-04-26
50.1895,2019-08-14
50.245,2019-04-22
50.2647,2019-04-29
50.309,2018-08-07
50.3127,2019-08-02
50.343,2018-08-08
50.3645,2019-07-05
50.377,2018-08-02
50.4089,2019-07-03
50.4293,2019-04-25
50.4311,2019-07-16
50.5227,2018-08-03
50.5386,2019-08-27
50.5756,2018-11-02
50.5878,2018-08-10
50.6062,2019-07-15
50.7172,2019-07-18
50.7389,2018-08-09
50.7851,2018-08-06
50.8777,2019-08-28
50.8911,2019-04-24
50.9144,2018-08-13
50.9198,2019-09-03
50.9697,2019-04-23
50.9991,2018-11-08
51.0526,2019-07-25
51.1019,2019-07-22
51.1153,2019-08-26
51.1178,2019-08-16
51.1289,2018-08-14
51.1777,2018-11-07
51.2154,2019-05-06
51.2301,2019-07-26
51.2484,2018-08-15
51.38,2019-05-02
51.4003,2019-08-01
51.4595,2019-07-24
51.4866,2019-07-30
51.5014,2019-07-23
51.6723,2019-08-30
51.7085,2019-07-29
51.7165,2019-05-01
51.7292,2019-08-13
51.7359,2018-10-29
51.7391,2019-08-29
51.7837,2019-09-04
51.9943,2018-10-30
51.9992,2018-08-16
52.0187,2019-05-03
52.0709,2019-08-19
52.0733,2019-08-20
52.2746,2018-10-11
52.4184,2018-08-21
52.4209,2018-08-22
52.4306,2018-10-24
52.5208,2018-08-20
52.5281,2018-08-23
52.5371,2019-07-31
52.5932,2019-08-22
52.6377,2019-08-21
52.6573,2018-10-18
52.6914,2018-08-24
52.7256,2018-10-26
52.7402,2018-10-10
52.7912,2019-09-06
52.7962,2019-09-05
52.9839,2018-10-15
53.0165,2019-09-09
53.0376,2018-08-17
53.0571,2018-09-21
53.1107,2018-09-17
53.1253,2018-08-27
53.1985,2018-09-18
53.2204,2018-09-10
53.2301,2018-09-19
53.3496,2018-10-31
53.4593,2018-10-19
53.5543,2018-08-28
53.5787,2018-10-25
53.6348,2018-09-20
53.6428,2019-09-10
53.7299,2018-09-26
53.7859,2018-10-22
53.82,2018-09-24
53.8854,2019-09-24
53.8883,2018-09-12
53.8977,2019-09-20
53.9176,2018-10-17
53.9444,2018-09-07
54.1418,2018-10-12
54.1428,2019-09-23
54.1502,2019-09-13
54.1516,2018-10-16
54.1613,2018-09-25
54.1676,2019-09-27
54.1686,2018-11-01
54.2022,2019-10-02
54.2929,2018-10-23
54.3539,2018-08-29
54.3831,2018-09-06
54.4324,2019-09-26
54.4349,2019-09-16
54.5465,2018-10-08
54.5635,2018-09-14
54.566,2018-09-11
54.6329,2019-09-17
54.6626,2019-10-03
54.6732,2018-10-05
54.6973,2019-09-19
54.7146,2019-09-25
54.8341,2018-09-27
54.8536,2018-08-30
55.0267,2018-09-28
55.1454,2019-09-18
55.19,2018-09-13
55.2233,2019-09-12
55.3021,2018-09-05
55.3021,2018-10-09
55.3483,2019-09-11
55.3972,2018-10-01
55.4424,2019-09-30
55.4874,2018-08-31
55.5488,2019-10-08
55.5751,2018-10-04
55.5959,2019-10-01
55.6653,2018-09-04
55.8404,2020-03-23
55.8896,2018-10-02
56.1949,2019-10-04
56.1999,2019-10-09
56.2073,2019-10-07
56.5697,2018-10-03
56.9574,2019-10-10
57.0524,2020-03-20
58.0169,2019-10-16
58.2421,2019-10-17
58.252,2019-10-15
58.3882,2019-10-14
58.4723,2019-10-11
58.5219,2019-10-18
59.4006,2019-10-22
59.5368,2019-10-21
59.9568,2020-04-01
60.0812,2020-04-03
60.1977,2019-10-23
60.2175,2019-10-30
60.225,2019-10-29
60.2803,2020-03-16
60.2967,2019-10-24
60.92,2020-03-19
60.9573,2020-04-02
61.0394,2019-10-25
61.1041,2020-03-25
61.3903,2020-03-18
61.4426,2020-03-24
61.579,2019-10-31
61.6508,2019-10-28
61.6566,2020-03-27
61.7786,2020-03-12
62.9309,2020-03-17
63.2868,2020-03-31
63.3267,2019-11-01
63.4162,2020-03-30
63.651,2019-11-05
63.6782,2019-11-06
63.7425,2019-11-04
64.3196,2020-03-26
64.4131,2019-11-07
64.4181,2019-12-03
64.566,2020-04-07
64.5894,2019-11-08
64.9867,2019-12-04
64.9966,2019-11-22
65.0413,2019-11-12
65.0537,2019-11-21
65.1009,2019-11-11
65.2101,2019-11-14
65.3226,2020-04-06
65.3467,2019-11-20
65.5875,2019-12-02
65.6198,2019-11-26
65.6645,2019-11-13
65.9401,2019-12-05
65.9848,2019-11-15
66.1164,2019-11-19
66.1362,2019-11-25
66.2185,2020-04-08
66.2434,2020-03-09
66.2728,2019-12-09
66.3175,2019-11-18
66.3547,2019-11-29
66.5012,2019-11-27
66.6601,2019-12-10
66.6964,2020-04-09
66.7909,2020-04-21
67.2138,2019-12-06
67.2287,2019-12-11
67.4,2019-12-12
68.0055,2020-04-13
68.0328,2020-02-28
68.0727,2020-02-27
68.3162,2019-12-13
68.4485,2020-04-23
68.548,2020-03-11
68.7148,2020-04-22
68.9213,2020-04-20
69.1802,2020-03-13
69.332,2020-04-28
69.3813,2019-12-20
69.4558,2019-12-18
69.4856,2019-12-16
69.5254,2019-12-19
69.6222,2019-12-17
70.3822,2020-04-17
70.4245,2020-04-24
70.4743,2020-04-27
70.5135,2019-12-23
70.5806,2019-12-24
70.7879,2020-04-15
71.0144,2020-03-10
71.3504,2020-04-16
71.44,2020-04-14
71.6092,2020-04-29
71.6963,2020-02-25
71.9327,2020-03-06
71.9427,2020-05-01
71.9536,2019-12-27
71.9809,2019-12-26
72.0049,2020-03-03
72.3807,2019-12-30
72.8337,2020-02-26
72.9009,2020-03-05
72.9095,2019-12-31
72.9606,2020-05-04
73.1199,2020-04-30
73.848,2020-01-03
74.0556,2020-05-05
74.0864,2020-01-07
74.21,2020-02-24
74.3667,2020-03-02
74.4365,2020-01-06
74.573,2020-01-02
74.8197,2020-05-06
75.2782,2020-01-08
75.3448,2020-03-04
75.5937,2020-05-07
76.6363,2020-02-03
76.7083,2020-01-27
76.7741,2020-05-13
76.789,2020-05-15
76.8473,2020-01-31
76.8771,2020-01-09
77.0509,2020-01-10
77.2457,2020-05-14
77.3017,2020-01-15
77.393,2020-05-08
77.6344,2020-01-14
77.7124,2020-05-12
77.9107,2020-02-21
78.1441,2020-05-19
78.27,2020-01-16
78.5983,2020-05-18
78.6002,2020-01-21
78.6108,2020-05-11
78.6971,2020-01-13
78.8783,2020-01-28
78.8808,2020-01-22
79.0323,2020-01-24
79.04,2020-05-26
79.0699,2020-05-21
79.1365,2020-01-17
79.1663,2020-02-04
79.2607,2020-01-23
79.3419,2020-05-29
79.3844,2020-05-27
79.3916,2020-02-18
79.4193,2020-05-28
79.5434,2020-02-11
79.579,2020-05-22
79.6479,2020-02-07
79.6639,2020-05-20
79.7151,2020-02-20
79.8119,2020-02-05
80.0262,2020-02-10
80.3177,2020-06-01
80.4127,2020-01-30
80.435,2020-06-04
80.5294,2020-01-29
80.5414,2020-02-19
80.6895,2020-06-02
80.7454,2020-02-06
80.8525,2020-02-13
80.8724,2020-02-14
81.1337,2020-06-03
81.4323,2020-02-12
82.7258,2020-06-05
83.215,2020-06-08
83.8239,2020-06-11
84.5476,2020-06-12
85.5932,2020-06-15
85.8427,2020-06-09
87.2726,2020-06-19
87.7393,2020-06-17
87.7742,2020-06-18
87.8616,2020-06-16
88.0512,2020-06-10
88.2484,2020-06-26
89.556,2020-06-22
89.853,2020-06-24
90.2822,2020-06-29
90.8637,2020-07-01
90.8637,2020-07-02
91.0359,2020-06-30
91.0458,2020-06-25
91.4676,2020-06-23
92.4483,2020-07-24
92.6779,2020-07-23
93.0048,2020-07-07
93.0847,2020-07-28
93.2943,2020-07-06
94.6394,2020-07-27
94.8689,2020-07-29
95.1709,2020-07-08
95.3057,2020-07-13
95.5103,2020-07-09
95.7474,2020-07-10
96.0169,2020-07-30
96.1541,2020-07-17
96.3488,2020-07-16
96.8254,2020-07-21
96.8828,2020-07-14
97.0974,2020-07-22
97.5491,2020-07-15
98.1805,2020-07-20
106.069,2020-07-31
106.84,2020-09-18
107.12,2020-09-23
108.22,2020-09-24
108.741,2020-08-03
108.77,2020-11-02
108.86,2020-10-30
109.375,2020-08-11
109.468,2020-08-04
109.864,2020-08-05
110.08,2020-09-21
110.34,2020-09-17
110.44,2020-11-03
111.113,2020-08-07
111.2,2020-10-28
111.81,2020-09-22
112.0,2020-09-11
112.13,2020-09-16
112.28,2020-09-25
112.728,2020-08-10
112.82,2020-09-08
113.01,2020-08-12
113.02,2020-10-02
113.16,2020-10-06
113.49,2020-09-10
113.698,2020-08-06
113.85,2020-11-23
114.09,2020-09-29
114.607,2020-08-17
114.752,2020-11-04
114.908,2020-08-14
114.96,2020-09-28
114.97,2020-10-08
115.01,2020-08-13
115.04,2020-10-23
115.05,2020-10-26
115.08,2020-10-07
115.17,2020-11-24
115.32,2020-10-29
115.355,2020-09-14
115.54,2020-09-15
115.562,2020-08-18
115.707,2020-08-19
115.75,2020-10-22
115.81,2020-09-30
115.97,2020-11-10
115.98,2020-10-19
116.03,2020-11-25
116.32,2020-11-09
116.5,2020-10-05
116.59,2020-11-27
116.6,2020-10-27
116.79,2020-10-01
116.87,2020-10-21
116.97,2020-10-09
117.32,2020-09-09
117.34,2020-11-20
117.51,2020-10-20
118.03,2020-11-18
118.275,2020-08-20
118.64,2020-11-19
118.69,2020-11-06
118.825,2020-11-05
119.02,2020-10-16
119.05,2020-11-30
119.21,2020-11-12
119.26,2020-11-13
119.39,2020-11-17
119.49,2020-11-11
120.3,2020-11-16
120.71,2020-10-15
120.88,2020-09-03
120.96,2020-09-04
121.1,2020-10-13
121.19,2020-10-14
122.25,2020-12-04
122.72,2020-12-01
122.94,2020-12-03
123.08,2020-12-02
124.37,2020-08-21
124.4,2020-10-12
124.808,2020-08-28
124.825,2020-08-25
125.01,2020-08-27
125.857,2020-08-24
126.522,2020-08-26
129.04,2020-08-31
131.4,2020-09-02
134.18,2020-09-01
